method,round,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
cdal,1,0.7344788355472772,0.7243750626716702,0.607369844400237,0.5598549744119815,0.3184118108585991,0.7002918736113348,0.7485050986623845,0.7562296038672351,0.4084322474480258,0.6754074689133053,0.5825688948088791,0.6575810355950992,0.7428832342861548,0.7330290797066301,0.6798064284417906,0.2895613672055478,0.668718395670891,0.6330663203943866,0.7344636153641552,0.6015716203278003
cdal,2,0.7638048553879825,0.7766796968865795,0.6502901417177768,0.6128558167778527,0.330220784699791,0.7487226253999787,0.7846903799539219,0.7824452735448113,0.420177796474075,0.7014181404423064,0.6245975426023648,0.6920408206174428,0.7769848775988039,0.7867988693738087,0.7011575616863843,0.2988733557647853,0.6734854784280406,0.6103710599057214,0.7663808418787349,0.6279649140958508
random,1,0.6773138639306961,0.7084351532239292,0.5550630217695554,0.4844944678025006,0.2827067523507706,0.7100173711832891,0.7591562981837556,0.7624798675228793,0.3844519414787569,0.5824682035908378,0.5744572484770942,0.6627626898692202,0.726146941940694,0.7172946358708214,0.6713015014639586,0.2386538561276258,0.5675748572584928,0.607679951524544,0.7135177154150109,0.602336192448858
random,2,0.7086495518354696,0.7441325222415821,0.5836856340969999,0.5248565869659545,0.3386755135196856,0.7311705784851208,0.7862166091159895,0.7863967857406559,0.4257908985699459,0.623206929629978,0.6134554412565334,0.7134851393489711,0.7647179221356466,0.7286301109429975,0.7002417184477429,0.2972943896016436,0.6312844250986217,0.6658727283064165,0.7363921075111821,0.6496803254033544
random,3,0.7057743612907056,0.7711442793438072,0.6552658636396191,0.6028458617315422,0.3789662304097493,0.8080578441405758,0.8121116733671764,0.8029226709453219,0.4713733536849062,0.7065991235051058,0.6762725694813444,0.7696196564412228,0.7974453908910933,0.7694360049885572,0.7192653109176349,0.3169360182069246,0.6460313331590436,0.7089712947040281,0.7713471215453694,0.673198051316835
random,4,0.7601710846268512,0.7684964917045607,0.6575963794138461,0.6271361904663763,0.3552053879982066,0.7919450419203861,0.8120767881173547,0.8351751086244172,0.4985559177861012,0.702236252242436,0.697070718925536,0.7806913823564173,0.8204534507385071,0.7905039367372807,0.7219162789981262,0.3516457802303399,0.6774882358334486,0.7327961123732848,0.7972472217905149,0.7051031726366978
random,5,0.7525304005697925,0.7960154224923142,0.6590524967761021,0.622970600840166,0.3734581751698271,0.8097505895424433,0.8169469343352002,0.8345518813203028,0.4850969794526837,0.7278798808160242,0.7093704241221306,0.7940853094601962,0.8193558442456439,0.7846808604621472,0.7299810005380716,0.3683287263379578,0.6896393953839146,0.7518054365210168,0.8129227663271549,0.7194299964647031
random,6,0.7703945673922229,0.7813757186919859,0.6785901727496679,0.6327223109270681,0.4020157582428297,0.8190795707448908,0.8355947522705082,0.8532538893788282,0.5161844824590592,0.7505820183301835,0.7077509895231432,0.8058234762809688,0.8182661192764537,0.795525430264247,0.7344311587742549,0.3950338958890632,0.7277152298983572,0.7450767558826636,0.8193006291849726,0.7255238616392986
random,7,0.7538176551003668,0.8013367666214763,0.6983295118716957,0.6575913997519748,0.4108831362855389,0.8208688741107155,0.8341559268427298,0.8532812891640396,0.5271400882750459,0.7729490997826381,0.7377873145945669,0.8117424208594716,0.8345201273580429,0.8160813112355765,0.7490127713582778,0.4413586774984173,0.710561650014303,0.75100163645365,0.8221943436521243,0.7293219434039345
random,8,0.7526858149190792,0.8090186044021367,0.69596068062897,0.6720118092639815,0.4519424672921325,0.8151711763047341,0.838765222892484,0.8673343518471904,0.5466150586509474,0.7627176853618295,0.699927366148132,0.8162834998742416,0.8454011773336035,0.8216504651926647,0.757728242419994,0.4527176299371591,0.7330766660676654,0.7765713414813112,0.8386565477829675,0.7456659874938597
random,9,0.7743390539380381,0.8242864830626414,0.7068735005649238,0.6802721810463312,0.4594673171379849,0.8387579491245072,0.8435285917375692,0.8508532700263096,0.5471448732457371,0.7684319170409183,0.7383602898179944,0.8169655558340461,0.8422459805262998,0.8215843616568752,0.7619456442409297,0.4491429127087743,0.7212248778052321,0.7699359390172089,0.8456448069023533,0.7378590610362515
